,用户名,弹幕,会员等级,发布时间,弹幕点赞数,弹幕id
0,, 啊啊啊我来晚了啊,0,31,1,6755721019593791574
0,,虞书欣！,0,32,1,6755710563297800379
0,, 哈哈哈，等到了,0,32,4,6755729229021159448
0,小情绪的女人, 怎么那么早,0,34,6,6755730847556945792
0,, 不准时，爱了,0,32,0,6755736655051814069
0,,鹿晗,0,32,0,6755740149658879072
0,,欣欣我来了啊啊啊啊,0,32,2,6755745475225692350
0,,打卡,0,31,1,6755749029913753333
0,,虞书欣我来了！,0,32,2,6755752690413930662
0,,来看虞书欣啦！,0,31,4,6755759175491899305
0,,来看虞书欣,0,34,0,6755762812027600435
0,,hhh,0,31,0,6755765222411579274
0,小少爷, 哈哈,0,34,0,6755779031289275379
0,,第一是我好不好,0,34,1,6755784338492818980
0,,鹿晗来了,0,34,0,6755789135467281361
0,,看个预告变成正片了,3,53,6,6755691727136693396
0,,哈哈党 : 来了来了来了来了来了,2,52,5,6755691811853288379
0,,鹿晗冲冲冲,4,51,4,6755694545566374347
0,,张颜齐哈哈哈哈哈,1,54,4,6755694677560161814
0,爱丽reed sugar,每周五的快乐，看鹿晗,0,54,2,6755695559040280802
0,,其他了,0,54,0,6755694943277347225
0,榨汁机,欣欣子,0,52,2,6755695603704067245
0,,哈哈党 : 来了来了，来看王晨艺了,0,52,3,6755696182355494012
0,,欣欣子我来啦~,0,54,2,6755697751457513864
0,chenying,晨艺跳舞太帅了,2,50,6,6755700376847545229
0,Chelsea,王晨艺我来了,0,51,3,6755700626128308960
0,躲晕晕,芜湖来看虞书欣宝贝啦,0,54,1,6755701172771950047
0,, 来啦,0,54,2,6755705829330495804
0,, 鹿宝贝我爱你啊哈哈哈哈,0,54,2,6755706111967865654
0,我爱睡午觉,齐齐重庆崽儿呀呀呀,0,54,0,6755718515757916856
0,,快快快,0,53,0,6755718638310274319
0,废材先生不废材, 听说晨艺学坏了，我来看看,0,53,4,6755719470368933705
0,,这个确实赚，不得罪人。,0,51,4,6755720169046341724
0,giao~宝盒, 我来了,0,51,1,6755712002175772830
0,,来看鹿晗,0,51,1,6755731966848865386
0,💓m捧一手星星h.,欣欣宝贝你来啦！,0,51,0,6755731234259192178
0,,哈哈哈哈哈哈哈哈哈,0,53,2,6755747862919966915
0,,这期有虞书欣 那我来啦,0,53,2,6755762780457432579
0,,准点在线,0,52,1,6755775114820130162
